ram_gb,ssd,hdd,display_size,price,Marca,Marca del Procesador,Modelo del Procesador,Sistema Operativo
8,512,0,16.0,82990.0,dell,intel,core i5,windows
8,512,0,16.0,82990.0,lenovo,intel,core i5,windows
8,512,0,16.0,114990.0,asus,intel,core i5,windows
8,512,0,16.0,129999.0,hp,intel,core i5,windows
8,512,0,16.0,71290.0,dell,intel,core i5,windows
8,512,0,16.0,91999.0,lenovo,intel,core i5,windows
8,512,0,16.0,78900.0,dell,intel,core i5,windows
8,512,0,15.6,60990.0,lenovo,intel,core i5,windows
8,512,0,13.3,65556.0,avita,intel,core i5,windows
16,512,0,15.6,70190.0,dell,intel,core i5,windows
8,512,0,14.0,79590.0,dell,intel,core i5,windows
8,512,0,15.6,76990.0,asus,intel,core i5,windows
8,512,0,14.0,44990.0,avita,intel,core i5,windows
8,512,0,13.3,84990.0,asus,intel,core i5,windows
8,512,0,14.0,86999.0,lenovo,intel,core i5,windows
16,512,0,15.6,78000.0,hp,intel,core i5,windows
8,512,0,14.0,73063.0,avita,intel,core i5,windows
16,512,0,14.0,100990.0,hp,intel,core i5,windows
8,512,0,13.3,74990.0,lenovo,intel,core i5,windows
8,512,0,15.6,75990.0,asus,intel,core i5,windows
8,512,0,15.6,84086.0,lenovo,intel,core i5,windows
8,1024,0,15.6,75990.0,asus,intel,core i5,windows
8,1024,0,17.3,77990.0,asus,intel,core i5,windows
8,1024,0,15.6,77990.0,asus,intel,core i5,windows
8,1024,0,16.0,87990.0,asus,intel,core i5,windows
8,1024,0,13.3,74190.0,dell,intel,core i5,windows
8,1024,0,13.3,64990.0,lenovo,intel,core i5,windows
8,0,1024,15.6,49990.0,acer,intel,core i5,windows
8,0,1024,14.0,46990.0,acer,intel,core i5,windows
8,0,1024,14.0,48990.0,dell,intel,core i5,windows
8,0,1024,15.6,64990.0,hp,intel,core i5,windows
8,0,1024,15.6,46790.0,hp,intel,core i5,windows
4,0,1024,15.6,44599.0,hp,intel,core i5,windows
8,0,1024,15.6,72964.0,acer,intel,core i5,windows
8,0,1024,15.6,48790.0,hp,intel,core i5,windows
8,0,1024,15.6,56491.0,acer,intel,core i5,windows
8,256,1024,15.6,50990.0,asus,intel,core i5,windows
8,256,1024,15.6,55990.0,asus,intel,core i5,windows
8,256,1024,15.6,57990.0,acer,intel,core i5,windows
8,256,1024,15.6,52990.0,asus,intel,core i5,windows
8,256,1024,15.6,57990.0,dell,intel,core i5,windows
8,256,1024,15.6,56990.0,acer,intel,core i5,windows
8,256,1024,14.0,55490.0,acer,intel,core i5,windows
8,256,1024,15.6,62490.0,dell,intel,core i5,windows
16,256,1024,15.6,64990.0,asus,intel,core i5,windows
8,256,1024,15.6,59990.0,lenovo,intel,core i5,windows
8,256,1024,15.6,60190.0,asus,intel,core i5,windows
8,256,1024,15.6,54490.0,asus,intel,core i5,windows
8,256,1024,15.6,60990.0,lenovo,intel,core i5,windows
4,256,1024,14.9,55790.0,dell,intel,core i5,windows
16,256,1024,17.3,58990.0,asus,intel,core i5,windows
8,256,1024,14.0,54990.0,dell,intel,core i5,windows
8,256,1024,15.6,71990.0,hp,intel,core i5,windows
8,256,1024,15.6,69900.0,dell,intel,core i5,windows
8,256,1024,15.6,65990.0,lenovo,intel,core i5,windows
8,256,1024,15.6,71695.0,dell,intel,core i5,windows
16,256,1024,14.0,62490.0,acer,intel,core i5,windows
8,0,2048,15.6,62317.0,dell,intel,core i5,windows
8,256,0,14.0,73990.0,avita,intel,core i7,windows
16,512,0,15.6,57990.0,asus,intel,core i7,windows
8,512,0,15.6,61990.0,asus,intel,core i7,windows
16,512,0,15.6,79990.0,msi,intel,core i7,windows
8,512,0,15.6,68990.0,lenovo,intel,core i7,windows
16,512,0,14.0,85990.0,lenovo,intel,core i7,windows
16,512,0,15.6,99990.0,lenovo,intel,core i7,windows
8,512,0,14.0,77990.0,asus,intel,core i7,windows
8,512,0,15.6,79990.0,lenovo,intel,core i7,windows
16,512,0,15.6,93190.0,hp,intel,core i7,windows
16,512,0,13.3,94990.0,asus,intel,core i7,windows
16,512,0,14.0,84990.0,lenovo,intel,core i7,windows
8,512,0,14.0,57990.0,msi,intel,core i7,windows
16,512,0,13.3,102990.0,hp,intel,core i7,windows
16,512,0,16.0,99990.0,dell,intel,core i7,windows
16,512,0,16.0,94990.0,asus,intel,core i7,windows
16,512,0,16.0,104000.0,hp,intel,core i7,windows
16,512,0,16.0,90190.0,hp,intel,core i7,windows
16,512,0,16.0,88488.0,lenovo,intel,core i7,windows
16,512,0,16.0,109990.0,msi,intel,core i7,windows
16,512,0,16.0,89990.0,msi,intel,core i7,windows
16,512,0,16.0,121890.0,dell,intel,core i7,windows
16,512,0,16.0,94990.0,msi,intel,core i7,windows
16,512,0,16.0,92000.0,hp,intel,core i7,windows
16,512,0,16.0,135300.0,dell,intel,core i7,windows
16,512,0,16.0,99999.0,hp,intel,core i7,windows
16,512,0,16.0,104990.0,msi,intel,core i7,windows
16,512,0,16.0,109990.0,asus,intel,core i7,windows
16,512,0,16.0,99990.0,asus,intel,core i7,windows
16,512,0,14.0,110999.0,lenovo,intel,core i7,windows
16,512,0,15.6,99990.0,dell,intel,core i7,windows
8,512,0,13.3,81990.0,asus,intel,core i7,windows
8,512,0,15.6,66990.0,msi,intel,core i7,windows
16,1024,0,15.6,84990.0,msi,intel,core i7,windows
16,1024,0,14.0,104990.0,asus,intel,core i7,windows
16,1024,0,14.0,134990.0,asus,intel,core i7,windows
16,1024,0,15.6,98990.0,asus,intel,core i7,windows
16,1024,0,15.6,144690.0,hp,intel,core i7,windows
16,1024,0,13.3,99990.0,asus,intel,core i7,windows
16,1024,0,16.0,119990.0,msi,intel,core i7,windows
16,1024,0,16.0,124990.0,asus,intel,core i7,windows
16,1024,0,16.0,122410.0,dell,intel,core i7,windows
16,1024,0,16.0,122990.0,lenovo,intel,core i7,windows
16,1024,0,16.0,121990.0,hp,intel,core i7,windows
16,1024,0,16.0,116990.0,hp,intel,core i7,windows
16,1024,0,16.0,151098.0,lenovo,intel,core i7,windows
16,1024,0,16.0,129990.0,msi,intel,core i7,windows
16,1024,0,16.0,149999.0,hp,intel,core i7,windows
16,1024,0,16.0,139990.0,msi,intel,core i7,windows
16,1024,0,16.0,129990.0,acer,intel,core i7,windows
16,1024,0,16.0,93955.0,dell,intel,core i7,windows
16,1024,0,16.0,128500.0,hp,intel,core i7,windows
16,1024,0,16.0,102990.0,lenovo,intel,core i7,windows
16,1024,0,16.0,119990.0,asus,intel,core i7,windows
16,1024,0,16.0,120980.0,asus,intel,core i7,windows
16,1024,0,16.0,131500.0,asus,intel,core i7,windows
16,1024,0,16.0,119990.0,lenovo,intel,core i7,windows
16,1024,0,14.0,62990.0,avita,intel,core i7,windows
16,1024,0,13.0,85990.0,lenovo,intel,core i7,windows
16,1024,0,13.3,94990.0,hp,intel,core i7,windows
16,1024,0,16.1,136990.0,hp,intel,core i7,windows
8,256,1024,15.6,63990.0,msi,intel,core i7,windows
16,256,1024,15.6,66990.0,asus,intel,core i7,windows
16,256,1024,16.0,119990.0,acer,intel,core i7,windows
16,512,1024,15.6,92990.0,acer,intel,core i7,windows
16,512,1024,15.6,119990.0,acer,intel,core i7,windows
16,1024,0,15.6,139990.0,acer,intel,core i9,windows
16,1024,0,15.6,139990.0,asus,intel,core i9,windows
8,0,512,15.6,75500.0,dell,intel,geforce gtx,dos
16,512,0,15.6,76990.0,msi,intel,hexa core,windows
8,256,1024,15.6,55990.0,msi,intel,hexa core,windows
8,256,0,13.3,85990.0,apple,m1,m1,mac
8,256,0,13.3,112990.0,apple,m1,m1,mac
16,256,0,13.3,104990.0,apple,m1,m1,mac
16,256,0,13.3,132990.0,apple,m1,m1,mac
16,512,0,13.3,149990.0,apple,m1,m1,mac
8,512,0,13.3,125990.0,apple,m1,m1,mac
8,512,0,13.3,103990.0,apple,m1,m1,mac
8,512,0,13.3,101990.0,apple,m1,m1,mac
8,512,0,13.3,104990.0,apple,m1,m1,mac
8,512,0,13.3,131990.0,apple,m1,m1,mac
16,512,0,13.3,128990.0,apple,m1,m1,mac
4,512,0,16.0,124990.0,apple,m1,m1,mac
8,1024,0,13.3,149990.0,apple,m1,m1,mac
8,256,0,13.3,62990.0,asus,intel,pentium quad,windows
8,256,0,14.0,32990.0,hp,intel,pentium quad,windows
4,256,0,15.6,35990.0,dell,intel,pentium quad,windows
4,0,1024,15.6,27990.0,asus,intel,pentium quad,windows
4,0,1024,15.6,25990.0,asus,intel,pentium quad,windows
4,0,1024,15.6,30780.0,asus,intel,pentium quad,windows
4,256,0,14.0,29990.0,asus,intel,pentium silver,windows
8,256,0,15.6,37990.0,hp,amd,ryzen 3,windows
8,256,0,15.6,35990.0,asus,amd,ryzen 3,windows
8,256,0,15.6,39490.0,dell,amd,ryzen 3,windows
8,256,0,14.96,36990.0,dell,amd,ryzen 3,windows
8,256,0,15.6,39990.0,dell,amd,ryzen 3,windows
4,256,0,15.6,33690.0,asus,amd,ryzen 3,windows
8,256,0,15.6,40590.0,dell,amd,ryzen 3,windows
8,512,0,15.6,36990.0,acer,amd,ryzen 3,windows
8,512,0,14.0,43490.0,hp,amd,ryzen 3,windows
8,512,0,15.6,41490.0,hp,amd,ryzen 3,windows
4,512,0,15.6,34990.0,acer,amd,ryzen 3,windows
8,512,0,15.6,42090.0,dell,amd,ryzen 3,windows
8,0,1024,14.0,35990.0,dell,amd,ryzen 3,windows
8,0,1024,15.6,39490.0,hp,amd,ryzen 3,windows
8,0,1024,15.6,37390.0,dell,amd,ryzen 3,windows
4,0,1024,15.6,32917.0,hp,amd,ryzen 3,windows
4,0,1024,15.6,34990.0,lenovo,amd,ryzen 3,windows
8,0,1024,14.96,39990.0,dell,amd,ryzen 3,windows
8,256,1024,15.6,41999.0,hp,amd,ryzen 3,windows
8,256,0,14.0,41990.0,dell,amd,ryzen 5,windows
8,256,0,15.6,44490.0,dell,amd,ryzen 5,windows
8,256,0,15.6,41990.0,dell,amd,ryzen 5,windows
8,256,0,14.0,44490.0,dell,amd,ryzen 5,windows
8,512,0,15.6,57990.0,hp,amd,ryzen 5,windows
8,512,0,15.6,56990.0,lenovo,amd,ryzen 5,windows
8,512,0,15.6,48990.0,lenovo,amd,ryzen 5,windows
8,512,0,14.0,49970.0,hp,amd,ryzen 5,windows
8,512,0,14.0,47990.0,msi,amd,ryzen 5,windows
8,512,0,15.6,48990.0,hp,amd,ryzen 5,windows
8,512,0,14.0,53990.0,acer,amd,ryzen 5,windows
8,512,0,15.6,52990.0,lenovo,amd,ryzen 5,windows
8,512,0,15.6,43990.0,acer,amd,ryzen 5,windows
8,512,0,15.6,59490.0,lenovo,amd,ryzen 5,windows
8,512,0,15.6,64990.0,msi,amd,ryzen 5,windows
8,512,0,14.0,47490.0,dell,amd,ryzen 5,windows
8,512,0,15.6,59990.0,hp,amd,ryzen 5,windows
8,512,0,15.6,69990.0,lenovo,amd,ryzen 5,windows
8,512,0,15.6,58990.0,hp,amd,ryzen 5,windows
8,512,0,14.0,59490.0,dell,amd,ryzen 5,windows
16,512,0,15.6,67500.0,hp,amd,ryzen 5,windows
8,512,0,14.0,62450.0,asus,amd,ryzen 5,windows
8,512,0,14.0,58990.0,asus,amd,ryzen 5,windows
8,512,0,15.6,57999.0,hp,amd,ryzen 5,windows
16,512,0,15.6,56990.0,asus,amd,ryzen 5,windows
8,512,0,15.6,72990.0,hp,amd,ryzen 5,windows
16,512,0,13.3,65990.0,hp,amd,ryzen 5,windows
16,512,0,13.3,98020.0,hp,amd,ryzen 5,windows
16,512,0,14.0,63990.0,hp,amd,ryzen 5,windows
8,512,0,15.6,49890.0,asus,amd,ryzen 5,windows
8,512,0,15.6,49990.0,dell,amd,ryzen 5,windows
8,512,0,13.3,73999.0,hp,amd,ryzen 5,windows
4,512,0,16.0,74798.0,lenovo,amd,ryzen 5,windows
4,512,0,16.0,77990.0,lenovo,amd,ryzen 5,windows
4,512,0,16.0,91990.0,asus,amd,ryzen 5,windows
4,512,0,16.0,84208.0,hp,amd,ryzen 5,windows
4,512,0,16.0,80990.0,asus,amd,ryzen 5,windows
8,512,0,15.6,51890.0,hp,amd,ryzen 5,windows
16,512,0,17.3,78000.0,asus,amd,ryzen 5,windows
16,512,0,14.0,59999.0,hp,amd,ryzen 5,windows
8,512,0,15.6,64990.0,hp,amd,ryzen 5,windows
4,1024,0,16.0,81978.0,lenovo,amd,ryzen 5,windows
8,256,1024,15.6,49490.0,dell,amd,ryzen 5,windows
8,256,1024,15.6,54990.0,asus,amd,ryzen 5,windows
8,256,1024,15.6,68500.0,lenovo,amd,ryzen 5,windows
8,256,1024,15.6,63990.0,lenovo,amd,ryzen 5,windows
16,512,0,17.3,76990.0,asus,amd,ryzen 7,windows
16,512,0,14.0,79990.0,asus,amd,ryzen 7,windows
8,512,0,15.6,71990.0,asus,amd,ryzen 7,windows
16,512,0,15.6,99990.0,lenovo,amd,ryzen 7,windows
16,512,0,15.6,93990.0,dell,amd,ryzen 7,windows
16,512,0,17.3,82990.0,asus,amd,ryzen 7,windows
4,512,0,16.0,106990.0,asus,amd,ryzen 7,windows
4,512,0,16.0,92990.0,asus,amd,ryzen 7,windows
4,512,0,16.0,81490.0,lenovo,intel,ryzen 7,windows
4,512,0,16.0,56990.0,asus,amd,ryzen 7,windows
4,512,0,16.0,84988.0,lenovo,amd,ryzen 7,windows
